Month,White,Black or African American,Asian,Hispanic or Latino
May-18,3.5,5.9,2.2,4.9
Jun-18,3.5,6.5,3.2,4.5
Jul-18,3.3,6.6,3.1,4.4
Aug-18,3.4,6.3,3,4.7
Sep-18,3.3,6.2,3.5,4.6
Oct-18,3.3,6.3,3.1,4.4
Nov-18,3.4,6.1,2.8,4.5
Dec-18,3.4,6.6,3.3,4.4
Jan-19,3.5,6.8,3.1,4.8
Feb-19,3.3,6.9,3.1,4.3
Mar-19,3.4,6.6,3.1,4.7
Apr-19,3.1,6.6,2.2,4.2
May-19,3.3,6.2,2.5,4.2
Jun-19,3.3,6,2.1,4.3
Jul-19,3.3,5.9,2.8,4.5
Aug-19,3.4,5.4,2.8,4.2
Sep-19,3.2,5.5,2.5,3.9
Oct-19,3.2,5.5,2.8,4.1
Nov-19,3.2,5.6,2.6,4.2
Dec-19,3.2,5.9,2.5,4.2
Jan-20,3.1,6,3,4.3
Feb-20,3.1,5.8,2.5,4.4
Mar-20,4,6.7,4.1,6
Apr-20,14.2,16.7,14.5,18.9
May-20,12.4,16.8,15,17.6
Jun-20,10.1,15.4,13.8,14.5
